id,Attribute Count,Attribute Count-rarity,Punk Type,Punk Type-rarity,Skin Tone,Skin Tone-rarity,isPersonOfColor,Full Type,Full Type-rarity,Hair,Hair-rarity,Eyes,Eyes-rarity,Facial Hair,Facial Hair-rarity,Blemishes,Blemishes-rarity,Neck Accessory,Neck Accessory-rarity,Mouth Prop,Mouth Prop-rarity,Mouth,Mouth-rarity,Nose,Nose-rarity,Ears,Ears-rarity
6258,2,2.808988764,Male,1.655903295,Mid,3.299241175,1,Male-Mid,5.385029618,Mohawk Dark,23.31002331,,2.545824847,Shadow Beard,19.01140684,,1.098418278,,1.038745196,,1.208459215,,1.341381623,,1.021659174,,1.326084074
6259,3,2.221728505,Female,2.604166667,Light,3.326679973,0,Female-Light,8.733624454,Mohawk Thin,22.67573696,,2.545824847,,1.539171926,,1.098418278,,1.038745196,,1.208459215,Hot Lipstick,14.36781609,,1.021659174,Earring,4.066693778
6260,3,2.221728505,Male,1.655903295,Light,3.326679973,0,Male-Light,5.373455132,Mohawk Dark,23.31002331,,2.545824847,,1.539171926,,1.098418278,,1.038745196,Pipe,31.54574132,,1.341381623,,1.021659174,Earring,4.066693778
6261,3,2.221728505,Male,1.655903295,Dark,3.541076487,1,Male-Dark,5.803830528,Knitted Cap,23.86634845,Big Shades,18.69158879,,1.539171926,,1.098418278,,1.038745196,Pipe,31.54574132,,1.341381623,,1.021659174,,1.326084074
6262,5,60.24096386,Male,1.655903295,Dark,3.541076487,1,Male-Dark,5.803830528,Cap,28.49002849,Nerd Glasses,17.48251748,Big Beard,68.49315068,Mole,15.52795031,,1.038745196,,1.208459215,,1.341381623,,1.021659174,Earring,4.066693778
6263,3,2.221728505,Female,2.604166667,Mid,3.299241175,1,Female-Mid,8.517887564,Straight Hair,66.22516556,Purple Eye Shadow,38.16793893,,1.539171926,,1.098418278,,1.038745196,,1.208459215,Black Lipstick,16.20745543,,1.021659174,,1.326084074
6264,2,2.808988764,Male,1.655903295,Albino,9.823182711,0,Male-Albino,16.72240803,Police Cap,49.26108374,3D Glasses,34.96503497,,1.539171926,,1.098418278,,1.038745196,,1.208459215,,1.341381623,,1.021659174,,1.326084074
6265,4,7.042253521,Female,2.604166667,Mid,3.299241175,1,Female-Mid,8.517887564,Straight Hair,66.22516556,Clown Eyes Blue,26.04166667,,1.539171926,,1.098418278,,1.038745196,,1.208459215,Black Lipstick,16.20745543,,1.021659174,Earring,4.066693778
6266,3,2.221728505,Male,1.655903295,Dark,3.541076487,1,Male-Dark,5.803830528,Shaved Head,33.33333333,,2.545824847,,1.539171926,Spots,80.64516129,,1.038745196,Medical Mask,57.14285714,,1.341381623,,1.021659174,,1.326084074
6267,4,7.042253521,Male,1.655903295,Albino,9.823182711,0,Male-Albino,16.72240803,Crazy Hair,24.15458937,Eye Patch,21.69197397,Mustache,34.72222222,,1.098418278,,1.038745196,,1.208459215,,1.341381623,,1.021659174,Earring,4.066693778
6268,3,2.221728505,Male,1.655903295,Dark,3.541076487,1,Male-Dark,5.803830528,Shaved Head,33.33333333,Classic Shades,19.92031873,Luxurious Beard,34.96503497,,1.098418278,,1.038745196,,1.208459215,,1.341381623,,1.021659174,,1.326084074
6269,4,7.042253521,Male,1.655903295,Dark,3.541076487,1,Male-Dark,5.803830528,Messy Hair,21.73913043,Horned Rim Glasses,18.69158879,Luxurious Beard,34.96503497,,1.098418278,,1.038745196,,1.208459215,,1.341381623,,1.021659174,Earring,4.066693778
6270,2,2.808988764,Female,2.604166667,Mid,3.299241175,1,Female-Mid,8.517887564,Pink With Hat,105.2631579,,2.545824847,,1.539171926,Mole,15.52795031,,1.038745196,,1.208459215,,1.341381623,,1.021659174,,1.326084074
6271,3,2.221728505,Male,1.655903295,Mid,3.299241175,1,Male-Mid,5.385029618,Bandana,20.79002079,Classic Shades,19.92031873,,1.539171926,,1.098418278,,1.038745196,,1.208459215,,1.341381623,Clown Nose,47.16981132,,1.326084074
6272,2,2.808988764,Female,2.604166667,Mid,3.299241175,1,Female-Mid,8.517887564,Crazy Hair,24.15458937,Clown Eyes Green,26.17801047,,1.539171926,,1.098418278,,1.038745196,,1.208459215,,1.341381623,,1.021659174,,1.326084074
6273,3,2.221728505,Female,2.604166667,Dark,3.541076487,1,Female-Dark,9.082652134,Tassle Hat,56.17977528,Green Eye Shadow,36.900369,,1.539171926,,1.098418278,,1.038745196,Cigarette,10.40582726,,1.341381623,,1.021659174,,1.326084074
6274,4,7.042253521,Male,1.655903295,Dark,3.541076487,1,Male-Dark,5.803830528,Knitted Cap,23.86634845,Regular Shades,18.97533207,Normal Beard Black,34.60207612,,1.098418278,,1.038745196,,1.208459215,,1.341381623,,1.021659174,Earring,4.066693778
6275,2,2.808988764,Zombie,113.6363636,Zombie,113.6363636,0,Zombie,113.6363636,Mohawk Dark,23.31002331,,2.545824847,Shadow Beard,19.01140684,,1.098418278,,1.038745196,,1.208459215,,1.341381623,,1.021659174,,1.326084074
6276,2,2.808988764,Male,1.655903295,Dark,3.541076487,1,Male-Dark,5.803830528,Shaved Head,33.33333333,,2.545824847,,1.539171926,Mole,15.52795031,,1.038745196,,1.208459215,,1.341381623,,1.021659174,,1.326084074
6277,4,7.042253521,Female,2.604166667,Mid,3.299241175,1,Female-Mid,8.517887564,Blonde Bob,68.02721088,Green Eye Shadow,36.900369,,1.539171926,,1.098418278,Silver Chain,64.1025641,,1.208459215,,1.341381623,,1.021659174,Earring,4.066693778
6278,3,2.221728505,Female,2.604166667,Mid,3.299241175,1,Female-Mid,8.517887564,Messy Hair,21.73913043,Nerd Glasses,17.48251748,,1.539171926,,1.098418278,,1.038745196,Cigarette,10.40582726,,1.341381623,,1.021659174,,1.326084074
6279,2,2.808988764,Male,1.655903295,Dark,3.541076487,1,Male-Dark,5.803830528,Frumpy Hair,22.62443439,,2.545824847,,1.539171926,Rosy Cheeks,78.125,,1.038745196,,1.208459215,,1.341381623,,1.021659174,,1.326084074
6280,2,2.808988764,Male,1.655903295,Light,3.326679973,0,Male-Light,5.373455132,Cowboy Hat,70.42253521,Nerd Glasses,17.48251748,,1.539171926,,1.098418278,,1.038745196,,1.208459215,,1.341381623,,1.021659174,,1.326084074
